ID,Anneal Time,R PbI2,R BAAc,R MAI,PbI2_vol,BAAc_vol,MAI_vol,filename,QW1,QW2,QW3,QW4,QW5,QW6,QW7,QW8,QW9,QW10,QW11,QW12,QW99,Temperature,source,well
37,9.27,1.0,0.77,3.03,20.82,16.07,63.12,N4 R1 sample 1_Subt2__0__17-01-35-256.csv,0.281712280202932,0.319156098851967,0.3507019759834642,0.3074744293528476,0.0,0.0,0.2596843937790885,0.1692609196715581,0.1692253072793733,0.1691465357148983,0.1690489762298058,0.1908804636265235,0.2335867984265753,95.0,IMOD_N4_v2_0425,
38,9.27,1.0,0.77,3.03,20.82,16.07,63.12,N4 R1 sample 2_Subt2__0__17-01-20-756.csv,0.0906757269804197,0.1352982778448984,0.2204904604035946,0.1719594204443062,0.1374836913607975,0.1484080165864466,0.1172992535531019,0.1380792943882372,0.0964881804664453,0.0963958458669292,0.0567303887311289,0.0952391332314895,0.0604120555516038,95.0,IMOD_N4_v2_0425,
39,7.1,1.0,0.54,3.05,21.77,11.78,66.45,N4 R1 sample 3_Subt2__0__17-00-28-758.csv,0.0,0.1609287633258848,0.2512389315119815,0.2216621065003111,0.2267313900497646,0.242160839662624,0.0,0.2541430084141344,0.2131009623184404,0.2128988009179414,0.2440390522947395,0.2438831773541339,0.239572210423522,95.0,IMOD_N4_v2_0425,
40,7.1,1.0,0.54,3.05,21.77,11.78,66.45,N4 R1 sample 4_Subt2__0__16-59-28-259.csv,0.0,0.1470159357222902,0.2092014883284414,0.2248941549022151,0.1374899386082709,0.2036164527822076,0.2101516080451011,0.1935163694814835,0.0,0.0,0.3366030215940732,0.3364671398442969,0.1668961021736487,95.0,IMOD_N4_v2_0425,
41,5.95,1.0,1.5,3.1,17.84,26.76,55.4,N4 R1 sample 5_Subt2__0__17-09-55-245.csv,0.097949625341198,0.123459060445006,0.2581978761967951,0.0980477701050194,0.1342251464237318,0.0819921437287162,0.0872764821439548,0.0452819057466999,0.0628461702210195,0.0695379363096111,0.0694236427520753,0.0296281305186273,0.0873013499745142,95.0,IMOD_N4_v2_0425,
42,5.95,1.0,1.5,3.1,17.84,26.76,55.4,N4 R1 sample 6_Subt2__0__16-58-01-765.csv,0.0,0.0958078934437018,0.2691082027460937,0.1235439519938415,0.1171375699219554,0.0634685986999659,0.0948302700525269,0.0755849460222758,0.0547535012743461,0.0556598726380964,0.0415976796485311,0.0414280269232936,0.0707420133164758,95.0,IMOD_N4_v2_0425,
43,3.96,1.0,0.33,2.29,27.64,9.12,63.25,N4 R1 sample 7_Subt2__0__16-56-35-263.csv,0.0,0.1118346869547988,0.1750586714575756,0.2004968824313437,0.2348091621785159,0.0,0.2154657044019645,0.1901916826524011,0.168847795922295,0.1261934248709179,0.1260700327030458,0.1375857690410672,0.2016792637134382,95.0,IMOD_N4_v2_0425,
44,3.96,1.0,0.33,2.29,27.64,9.12,63.25,N4 R1 sample 8_Subt2__0__16-56-52-762.csv,0.0654416019741417,0.0946529955825909,0.1809957162142432,0.1763279736788893,0.1955120701001925,0.198098856242493,0.1389412872947809,0.1383584667088956,0.1724118048069856,0.0442846738232246,0.0441588583210837,0.0,0.1630967522721607,95.0,IMOD_N4_v2_0425,
45,2.28,1.0,0.7,3.3,19.97,14.03,66.0,N4 R1 sample 9_Subt2__0__16-54-40-765.csv,0.0920884612781851,0.144124507214431,0.0,0.2292774926912292,0.1637308964120786,0.1541815960191379,0.1472598377275885,0.0917835834351729,0.1323477544466818,0.0414572459388607,0.048748988417897,0.1325195696846446,0.121962838878947,95.0,IMOD_N4_v2_0425,
46,2.28,1.0,0.7,3.3,19.97,14.03,66.0,N4 R1 sample 10_Subt2__0__16-54-15-266.csv,0.1127734904260722,0.188935968452158,0.2810565233517778,0.2709796986767634,0.2621976129774576,0.240402096183661,0.2587122959795268,0.268821413064205,0.0,0.278644586496993,0.2785420387242519,0.278464038774882,0.2147963527531359,95.0,IMOD_N4_v2_0425,
47,1.48,1.0,0.7,2.3,25.0,17.62,57.39,N4 R1 sample 11_Subt2__0__16-53-01-768.csv,0.1949380434545553,0.2271859191276203,0.25592760951087,0.2498039912842338,0.2478789430025346,0.0,0.417086988682244,0.0,0.0,0.0,0.0,0.2502574498345822,0.2527920806762268,95.0,IMOD_N4_v2_0425,
48,1.48,1.0,0.7,2.3,25.0,17.62,57.39,N4 R1 sample 12_Subt2__0__16-51-13-780.csv,0.3082570252588044,0.1528633886395257,0.0,0.2504240982656596,0.2488364592667434,0.0,0.1990626870802894,0.1420809986171022,0.1420410908620731,0.1374291772945384,0.1163057330443806,0.1355622836552018,0.1233449478372839,95.0,IMOD_N4_v2_0425,
49,30.0,1.0,0.33,0.5,54.64,18.03,27.32,N4 R2 sample 1_Subt2__0__18-32-12-139.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
50,30.0,1.0,0.33,0.5,54.64,18.03,27.32,N4 R2 sample 2_Subt2__0__18-31-49-139.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
51,26.24,1.0,1.37,4.55,14.45,19.76,65.79,N4 R2 sample 3_Subt2__0__18-30-12-141.csv,0.0,0.2244206156254281,0.2191826524222337,0.1756391849420513,0.1143781162973861,0.2244493448876445,0.1265635322473736,0.2152459678171124,0.0901730321861691,0.0904025850408046,0.0987686213388211,0.0986098613777837,0.1418461814737038,95.0,IMOD_N4_v2_0425,
52,26.24,1.0,1.37,4.55,14.45,19.76,65.79,N4 R2 sample 4_Subt2__0__18-30-24-140.csv,0.0,0.2654359001438797,0.2772218696013819,0.3095204469284671,0.0,0.0,0.539219276527425,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
53,20.07,1.0,0.7,4.54,16.02,11.19,72.79,N4 R2 sample 5_Subt2__0__18-23-27-650.csv,0.0,0.0,0.2741428029000039,0.3462044398572099,0.0,0.0,0.0,0.4573424351761028,0.3927803109149397,0.3920208268974614,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
